Requirement_1,Requirement_2,Conflict_Type,Mathematical_Expression
The engine should have a minimum power output of 25 HP.,The vehicle design should be compact and lightweight.,Contradiction,Constraint(The engine should ha → The vehicle design s)
The braking system should use ABS for enhanced safety.,The wheels should be spoked to maintain classic aesthetics.,Technology Conflict,Constraint(The braking system s → The wheels should be)
The vehicle should be fully electric.,The seat should be made of premium leather for comfort.,Performance Conflict,Constraint(The vehicle should b → The seat should be m)
The two-wheeler should use biodegradable materials where possible.,The vehicle should be cost-effective and use affordable materials.,Contradiction,Constraint(The two-wheeler shou → The vehicle should b)
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The system should minimize power consumption for extended battery life.,Material Conflict,Constraint(The vehicle should s → The system should mi)
The seat should be made of premium leather for comfort.,The vehicle should have a minimalistic dashboard design.,Regulatory Conflict,Constraint(The seat should be m → The vehicle should h)
The engine should have a fuel injection system for optimized combustion.,The vehicle should include tubeless tires for durability and safety.,No Conflict,Constraint(The engine should ha → The vehicle should i)
The engine should have a minimum power output of 25 HP.,The vehicle should have a minimalistic dashboard design.,Regulatory Conflict,Constraint(The engine should ha → The vehicle should h)
The engine should have a minimum power output of 25 HP.,The onboard computer should be minimal to reduce electronic dependencies.,Performance Conflict,Constraint(The engine should ha → The onboard computer)
The engine design should prioritize performance over emission constraints.,The vehicle must meet Euro 6 emission standards.,Material Conflict,Constraint(The engine design sh → The vehicle must mee)
The vehicle must meet Euro 6 emission standards.,The engine should have a minimum power output of 25 HP.,Design Conflict,Constraint(The vehicle must mee → The engine should ha)
The system should minimize power consumption for extended battery life.,The vehicle should include tubeless tires for durability and safety.,Sustainability Conflict,Constraint(The system should mi → The vehicle should i)
The display panel must be fully digital with GPS navigation.,The braking system should use ABS for enhanced safety.,Technology Conflict,Constraint(The display panel mu → The braking system s)
The bike must have a top speed of 120 km/h.,The vehicle should be fully electric.,Design Conflict,Constraint(The bike must have a → The vehicle should b)
The vehicle should support fast charging to reach 80% in 30 minutes.,The vehicle should incorporate modular components for easy customization.,Cost Conflict,Constraint(The vehicle should s → The vehicle should i)
The battery should use standard charging methods to maintain longevity.,The engine design should prioritize performance over emission constraints.,No Conflict,Constraint(The battery should u → The engine design sh)
The vehicle should have a minimalistic dashboard design.,The vehicle should include tubeless tires for durability and safety.,Material Conflict,Constraint(The vehicle should h → The vehicle should i)
The engine should have a minimum power output of 25 HP.,The bike should have a storage compartment for a full-size helmet.,Contradiction,Constraint(The engine should ha → The bike should have)
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The onboard computer should be minimal to reduce electronic dependencies.,Contradiction,Constraint(The vehicle must ach → The onboard computer)
Users should be able to turn off the headlight manually.,The battery should use standard charging methods to maintain longevity.,Performance Conflict,Constraint(Users should be able → The battery should u)
Durability must be ensured for at least 10 years of use.,The two-wheeler must have a rearview camera for safety.,Contradiction,Constraint(Durability must be e → The two-wheeler must)
The two-wheeler should have a maximum curb weight of 120 kg.,The vehicle should include tubeless tires for durability and safety.,Design Conflict,Constraint(The two-wheeler shou → The vehicle should i)
The vehicle must include a high-capacity battery for extended electric range.,The vehicle should incorporate modular components for easy customization.,Performance Conflict,Constraint(The vehicle must inc → The vehicle should i)
The vehicle should be cost-effective and use affordable materials.,The frame should be made of lightweight aluminum for efficiency.,No Conflict,Constraint(The vehicle should b → The frame should be )
The seat should be made of premium leather for comfort.,The vehicle should be cost-effective and use affordable materials.,Cost Conflict,Constraint(The seat should be m → The vehicle should b)
